,basin,NSE,RMSE,KGE,Pearson-r,Bias
0,10,0.9812635742127895,0.45420665550336137,0.9717061609149488,0.9916584459523402,-0.14646572
1,118,0.32740503549575806,0.781591531488132,0.5968314343881211,0.8552547064151496,0.56839186
2,120,0.49756085872650146,0.531137903392084,0.7914673425661083,0.8031981542593472,0.20919399
3,122,0.7771579921245575,0.4764537061737092,0.7992368098140983,0.8843986644919523,0.05202554
4,123,0.1903708577156067,0.6156526627110537,0.7480579315873084,0.7567183487979375,0.38724628
5,124,0.6480428576469421,0.514644470778638,0.86238646360869,0.8660345666679331,0.24851008
6,130,0.968677993863821,0.6930192569875476,0.9673708230677613,0.9843043232267922,0.01359554
7,132,0.949092622846365,1.0231675235997193,0.9419392901735368,0.9745910170749803,-0.019433448
8,135,0.9602774865925312,0.6816592282267897,0.928881160941929,0.9828139102093725,0.1991722
9,136,0.9696794841438532,0.7314708180685352,0.9253470417396327,0.9865529302850785,0.0135693615
10,137,0.9725821316242218,0.7081156050083242,0.916220615966299,0.98889567449772,0.05917898
11,14,0.9867108464241028,0.4275522933174417,0.9718336806228383,0.9949111488010721,0.19283387
12,140,0.9798927139490843,0.6449522781830445,0.9649217145912302,0.9905922785491614,0.13590196
13,166,0.9920776756480336,0.434986712236359,0.9657987801543584,0.9965474032315101,-0.055842414
14,17,0.9844907326623797,0.3856880826066333,0.9719546573058433,0.9938036647725795,0.15864216
15,171,0.970511993393302,0.43323756529082974,0.9713438457933224,0.98711218992338,0.15164414
16,172,0.9856850421056151,0.3526467768994416,0.9861611604424536,0.9928720707780152,0.028784206
17,173,0.9781008400022984,0.36701659019428073,0.9711763896359977,0.9894239133354428,-0.06375223
18,184,0.9836013987660408,0.3685338922647037,0.9590073142386881,0.9924016339896597,-0.04420689
19,185,0.981878250837326,0.3865047594890211,0.971768627772568,0.9910675820101389,-0.013302985
20,197,0.965265154838562,0.6090618943064121,0.9374910964827301,0.9850470665203301,0.19086958
21,21,0.9653685092926025,0.7576460114690209,0.9630481592666553,0.9880541730473021,-0.4239669
22,212,0.9538000486791134,0.6506223294499215,0.9531594223466676,0.9801288220647302,0.24579275
23,214,0.9700636975467205,0.6861229022510531,0.9365218618660642,0.9906465305221882,0.3798335
24,216,0.9698996488004923,0.5740943047232863,0.9624061141542714,0.9855433715718289,-0.10690404
25,217,0.9442485570907593,0.4363813062205076,0.9694016162443587,0.9734309265156726,0.08322145
26,219,0.9684336483478546,0.39301571726491763,0.9793151628807861,0.9854300954787765,0.0969148
