,basin,RMSE,KGE,Pearson-r,NSE,Num_obs,Bias
52,28,0.14741612062812232,0.5026962654823489,0.8600051645707881,0.5611717700958252,180.0,0.08369721472263336
53,280,0.1638880778876765,0.3579380730995879,0.8843226306959868,0.6787203848361969,993.0,0.05392858758568764
54,283,0.25060299334382335,0.5572653613707441,0.9224788514271357,0.7885046601295471,1684.0,0.10656269639730453
55,285,0.2723086488682138,0.6358371796590911,0.8482391675936909,0.6509442925453186,1127.0,0.0735197439789772
56,286,0.2316088119069702,0.7631119561859219,0.836850838391022,0.6132569909095764,1586.0,0.08980923146009445
57,29,0.15825154305334024,-4.210341758726841,0.28415636483938256,-142.89422607421875,180.0,0.14478424191474915
58,291,0.3111099919668478,0.3634468506321331,0.8932604809171343,0.6501310467720032,1562.0,0.1542312353849411
59,292,0.309910319761738,0.7746259765684553,0.881946572952105,0.7027072012424469,1624.0,0.13725875318050385
60,296,0.16179028670317402,0.7833958100998466,0.9165413797059458,0.8310946077108383,271.0,-0.011218993924558163
61,298,0.3958488218723857,0.76167296660489,0.9031487662856368,0.7519250959157944,1235.0,0.1420438289642334
62,305,0.2829011425179637,0.8803934933675103,0.9694195063970645,0.9261679798364639,687.0,0.11842133104801178
63,306,0.028393736565647813,-0.3199570678146577,0.15350016728010882,-2.429121255874634,351.0,0.008825799450278282
64,307,0.07810311905096924,-76.46205254988325,0.22050793083642967,-269.39044189453125,408.0,0.0691860169172287
65,309,0.08446049740554663,-55.927857293498164,-0.054823030425092206,-591.3433227539062,811.0,0.07354086637496948
66,310,0.0496114694723904,-3.5340488879046283,-0.03216650587340017,-12.356966972351074,572.0,0.015827767550945282
67,315,0.09521961200218768,-2.4143802837849413,0.19097994719205663,-8.734326362609863,622.0,0.04226883128285408
68,319,0.2781435890629134,-0.03202052664196642,0.36235879990843156,0.09657824039459229,420.0,0.02574252150952816
69,32,0.14243993855950352,0.5154156194789579,0.6478884135219195,0.4190199375152588,271.0,-0.003528306493535638
