,basin,RMSE,KGE,Pearson-r,NSE,Num_obs,Bias
0,10,0.3232305011768844,0.9209383892602439,0.9934132625891028,0.983207929879427,184.0,0.08399905264377594
1,118,,,,,,
2,120,,,,,,
3,122,,,,,,
4,123,,,,,,
5,124,,,,,,
6,130,0.42236735612083276,0.9617731606108217,0.9695681957347491,0.939740464091301,276.0,0.02701360546052456
7,132,0.5152776299425286,0.9473747895508695,0.9943108045351796,0.9871316505596042,315.0,0.16494181752204895
8,135,0.5563499628748727,0.6180522406908886,0.9719049647307302,0.905265562236309,227.0,0.2816583514213562
9,136,0.42884754967404787,0.7241161347880218,0.988639657864472,0.9488965943455696,212.0,0.18699926137924194
10,137,0.5708252939878649,0.8471812450905363,0.9845215676296979,0.9622320048511028,279.0,0.2329622209072113
11,14,0.35331677276373347,0.9582661474343829,0.9953589953641028,0.9888901086524129,184.0,0.10942763090133667
12,140,0.34882241657708146,0.9424708822910464,0.9902425189861093,0.9786802921444178,297.0,0.0627623051404953
13,166,0.3470187718339213,0.9778169274574929,0.9931255954364441,0.9853213261812925,276.0,0.08771935850381851
14,17,0.34539893609078015,0.9727211267305493,0.9863690050210736,0.9719146247953176,183.0,-0.050390180200338364
15,171,0.4107234121576259,0.9430789059087743,0.9450592046750311,0.8878315463662148,95.0,-0.06331510096788406
16,172,0.3024918723196738,0.9666754005285735,0.9873109358603852,0.9742180481553078,274.0,0.03161338344216347
17,173,0.36670021432876043,0.9496611846367065,0.9819177079517004,0.9621727503836155,644.0,-0.07139066606760025
18,184,0.3599188462815762,0.9540094007701327,0.966226317168309,0.9325330257415771,184.0,0.0445687510073185
19,185,0.35689748015140804,0.9637168083343439,0.9813650245933442,0.9597007483243942,274.0,0.0886036604642868
20,197,0.49048162965369874,0.7085240191699017,0.9738759230879266,0.916511632502079,441.0,0.2600082457065582
21,21,0.7662906477883032,0.8905766241999595,0.9920743452709668,0.9757059086114168,130.0,-0.3075241148471832
22,212,0.799263348271957,0.8617431290468349,0.8809545691179907,0.6564088463783264,114.0,0.4072209298610687
23,214,0.7619518216889662,0.9014572354547589,0.9754330680636375,0.8908069208264351,80.0,0.5511666536331177
24,216,0.5737643617399139,0.9262482387805437,0.9917066377976657,0.979111060500145,142.0,-0.12651072442531586
25,217,0.8690449179770988,0.4728654080664766,0.47908657633631424,-0.527044415473938,26.0,-0.4829339385032654
26,219,,,,,,
27,220,,,,,,
28,221,0.530709131578327,0.6470210150027135,0.7743511372088923,0.5784254670143127,31.0,0.1131846234202385
29,222,,,,,,
30,223,,,,,,
31,225,0.6848418694378297,0.8450247095876732,0.8474180123512018,0.6676877737045288,52.0,-0.1981552243232727
32,226,1.0787542966754873,0.6436754640634873,0.7530795186506114,0.5189814269542694,16.0,-0.34107887744903564
33,23,0.4791359131384039,0.9248448528590183,0.9947516857308696,0.9856666279956698,184.0,0.22304441034793854
34,230,0.5437448293067364,0.943093773274448,0.9958898877648023,0.9897952554747462,305.0,0.24077065289020538
35,233,0.43286499434982406,0.93933668839492,0.9923602065891357,0.9824852664023638,586.0,0.1420951634645462
36,234,0.784193064954389,0.9222519599438675,0.9265514069862837,0.8409319370985031,43.0,-0.2361554503440857
37,236,0.9219086851011091,0.7969404966433129,0.9423079683710748,0.8597284704446793,43.0,0.25352373719215393
38,237,0.7547964266245182,0.8693660910241523,0.9245999654115328,0.6938585340976715,18.0,0.5473336577415466
39,239,0.7175668847413833,0.939336441711905,0.9563036067055015,0.889406681060791,56.0,-0.32640910148620605
40,241,0.5657124446485268,0.9720729702592407,0.994882133133312,0.9892085818573833,592.0,0.12852239608764648
41,242,0.7531140765905628,0.8750243713872357,0.9530667674869617,0.8982837870717049,13.0,-0.17853227257728577
42,245,0.9116912144651771,0.4862573823473647,0.7637653699990654,0.5229690670967102,5.0,-0.14640578627586365
43,252,,,,,,
44,254,0.4727905807658584,0.9335567504037239,0.9926760165152146,0.9829049725085497,1136.0,0.18076449632644653
45,255,0.5519065723913957,0.9264881393950776,0.9384583657709432,0.880202516913414,41.0,0.010818248614668846
46,256,0.49487005081361346,0.9493675662603285,0.9917577955414597,0.9820176213979721,920.0,0.13170190155506134
47,267,0.39076503151081265,0.9517892470263598,0.9922161581199064,0.9821969959884882,92.0,0.12083978950977325
48,274,0.422765022566991,0.8158703331474481,0.9896416058336408,0.9659360386431217,460.0,0.20040400326251984
49,276,0.4843552493098708,0.9122489305648523,0.9867926242017079,0.9652647413313389,460.0,0.17691455781459808
50,277,0.4034346633149521,0.6725642781885075,0.9803857203795886,0.926002986729145,460.0,0.2318611741065979
51,279,0.365316840668956,0.9089097600322297,0.9855657474538918,0.9627020470798016,1651.0,0.1602935940027237
52,28,0.5319571837013944,0.9488169064230495,0.9936016145031932,0.9849637085571885,184.0,0.164345383644104
53,280,0.3492581505278366,0.9425214764744017,0.9880702628133061,0.9741508439183235,953.0,0.09946396201848984
54,283,0.4652825055981349,0.910897489324504,0.9858496804528197,0.964614637196064,1748.0,0.21110644936561584
55,285,0.62190759467962,0.8812722011025522,0.9782414057390065,0.948507022112608,1104.0,0.2518146336078644
56,286,0.45640813294949195,0.8455240230639786,0.9854057112071524,0.9514814876019955,1656.0,0.2370550036430359
57,29,0.4425758294418881,0.9735332208014956,0.9946814303645037,0.9889846853911877,184.0,0.0555766262114048
58,291,0.5386332032594198,0.9343651739205002,0.9848349518083461,0.9657741896808147,1558.0,0.1767478883266449
59,292,0.48476830788361014,0.9611052249723853,0.9871528133888798,0.9726781509816647,1652.0,0.12391659617424011
60,296,0.41230790838576437,0.9402907439653765,0.9873649786405411,0.9726969934999943,276.0,0.10927928239107132
61,298,0.44482446999233954,0.8943887616804025,0.9615570884304574,0.9057690426707268,987.0,0.16199010610580444
62,305,0.4230197281374095,0.9744963256953124,0.9852609593724753,0.9694150630384684,728.0,0.045231159776449203
63,306,0.672068102388703,0.9743423617138505,0.981226287670842,0.9617415629327297,424.0,0.030840549618005753
64,307,0.48307532098245504,0.8940668041756773,0.986887058477048,0.9678603745996952,371.0,0.20425811409950256
65,309,0.3870944307986015,0.890672580097573,0.9941652926464521,0.9844196029007435,828.0,0.19477549195289612
66,310,0.3918278675238986,0.8332208381783343,0.9881692363052483,0.9653064645826817,638.0,0.1451534628868103
67,315,0.5238542747939928,0.9203659975332703,0.9910686116671568,0.9780926518142223,594.0,0.2255905121564865
68,319,0.5213610042412004,0.928001754799619,0.9879517026164095,0.9725076798349619,553.0,0.16011539101600647
69,32,0.3571155048012013,0.740707121600406,0.9745539147332337,0.8852328881621361,291.0,0.21936506032943726
70,321,0.5659346096695934,0.917252737459954,0.9933951204192587,0.9822334982454777,368.0,0.2767031192779541
71,323,0.28906198449990983,0.8513520033931193,0.9950319069693508,0.9849416604265571,276.0,0.1465998888015747
72,324,1.156222317338457,0.8321225068332008,0.9014643250244647,0.8081386536359787,828.0,0.17049087584018707
73,326,0.6316860911579223,0.913933347263498,0.9734699157922188,0.9445301108062267,368.0,0.025891138240695
74,328,0.4070580955043344,0.8767211751031593,0.9870012152575137,0.9677165560424328,552.0,0.16214212775230408
75,34,0.3045036176746924,0.9122977592813123,0.996985884203917,0.9904247215017676,290.0,0.1808052659034729
76,4,0.5529204685489635,0.8162911488111941,0.9944061775382154,0.9786828719079494,184.0,0.36792606115341187
