,basin,RMSE,KGE,Pearson-r,NSE,Num_obs,Bias
31,225,0.5262857349341238,0.9481558901011871,0.9808188351601828,0.9484325014054775,257.0,0.26995784044265747
32,226,0.541960734236553,0.9768778253014492,0.9784593722932311,0.9562969766557217,148.0,0.06574789434671402
33,23,0.4604418077408464,0.9284574823962445,0.9943393071014761,0.9836033452302217,182.0,0.24570074677467346
34,230,0.6979889950827465,0.9466757244485001,0.9895962333159438,0.9775060843676329,381.0,-0.048187945038080215
35,233,0.45259126930897636,0.9569506042999818,0.9929447287092655,0.9841693229973316,786.0,0.11794925481081009
36,234,0.5686161732687727,0.9449397709928675,0.9801513220019995,0.9597021825611591,185.0,-0.003673615399748087
37,236,0.4856916805524796,0.9335306606127608,0.980250720524551,0.9502822980284691,129.0,-0.13950291275978088
38,237,0.38732231126971245,0.9669692988369905,0.988303484661764,0.9748961515724659,107.0,0.015581638552248478
39,239,0.6714464195757652,0.9161873156260872,0.964254462967431,0.9276647865772247,122.0,0.05876534804701805
40,241,0.5593125313769391,0.9616518911614914,0.9932912622867969,0.985500150360167,766.0,0.08222463726997375
41,242,0.4577359041057255,0.9739144110344156,0.9791767132589458,0.9578447341918945,167.0,0.06592930108308792
42,245,0.3564812629023804,0.9790850640527088,0.9817797442062965,0.9633084237575531,174.0,0.0389687642455101
43,252,,,,,,
44,254,0.45906238298823643,0.9548960327881398,0.9937556164203931,0.9850697945803404,1253.0,0.18711121380329132
45,255,0.5056739968229801,0.9529949778297883,0.9923114616021924,0.9761109370738268,152.0,0.2942715287208557
46,256,0.4367869561013632,0.9581956793249305,0.9942413384963684,0.9863941185176373,1134.0,0.1591184288263321
47,267,0.43882097341324067,0.9469602962846957,0.993889955718366,0.9852425334975123,182.0,-0.11622247844934464
48,274,0.3423428344017888,0.9489786220009184,0.994590424590325,0.9876151047646999,440.0,0.10749206691980362
49,276,0.38238986683077775,0.9769898335701176,0.9926978353538107,0.9851937415078282,455.0,0.025340266525745392
50,277,0.4043907756764606,0.9588633925023473,0.993549502840928,0.9852012135088444,390.0,0.1463528722524643
51,279,0.3849649445563745,0.9795229790536153,0.9946861872467346,0.9885461460798979,1466.0,0.10510416328907013
52,28,0.4577553221894752,0.982295711220474,0.9947578955849213,0.9890373907983303,182.0,-0.04225265234708786
53,280,0.33890816828253856,0.9815494113295294,0.994391316626013,0.9884071154519916,1001.0,0.06307768076658249
54,283,0.38430499082814173,0.9891283603951198,0.9930735789915893,0.9860833818092942,1547.0,0.0328591987490654
55,285,0.48621226083375124,0.9850954342756412,0.9906192858565008,0.9813180603086948,1087.0,0.007224292494356632
56,286,0.37336216330260363,0.976984660068898,0.9958937935083071,0.9909126162528992,1546.0,0.11208164691925049
57,29,0.5562932854859025,0.9049803089057484,0.9935415043010867,0.9784255344420671,182.0,0.35189375281333923
58,291,0.3719839561550737,0.9736217088982653,0.9939707223590343,0.9873939659446478,1638.0,0.06256422400474548
59,292,0.38528765203048887,0.9818583209920315,0.9948387362368065,0.9894057624042034,1622.0,0.055784162133932114
60,296,0.35538661972140284,0.9868760060488669,0.9947223064100854,0.9894029693678021,273.0,0.019624920561909676
61,298,0.6015956671352671,0.9795295145484375,0.9827175698251615,0.9648220799863338,1617.0,0.06930965930223465
62,305,0.3421437165803152,0.9868275019671429,0.9952752170982415,0.9905064832419157,736.0,0.011460975743830204
63,306,0.40298244558063784,0.9413547327868477,0.9943509769010273,0.9861328871920705,721.0,0.16631318628787994
64,307,0.4516721651697429,0.9137128540385027,0.9898687724180422,0.9722427390515804,432.0,0.23486308753490448
65,309,0.36943452226409673,0.9572946019196558,0.9948691920918188,0.9884320432320237,866.0,0.09834562987089157
66,310,0.3973407048008582,0.9427915317237332,0.9921979156024034,0.9818016532808542,455.0,0.12191171944141388
67,315,0.3608581579616891,0.9828311702012403,0.995603908670994,0.9909620406106114,728.0,0.0578821636736393
68,319,0.5195980172528385,0.897262650882369,0.9878027251874449,0.9687792789191008,594.0,0.24359513819217682
69,32,0.35466457410484276,0.9602792135479088,0.989066468943621,0.9762974791228771,269.0,0.07818647474050522
70,321,0.4345512471678111,0.9563866719736214,0.9919783462136842,0.982714744284749,364.0,0.1181686744093895
71,323,0.4186691049468864,0.9877001767946308,0.9945747811898056,0.9890682464465499,214.0,-0.03696600720286369
72,324,0.7801642311646013,0.9392218534711279,0.9747475881451926,0.9445082545280457,719.0,0.10744331032037735
73,326,0.6839492309534755,0.9042361603295342,0.9895646903920099,0.9679867513477802,304.0,0.30584073066711426
74,328,0.29823300060819513,0.9722605171938951,0.9948031664816253,0.9889749633148313,457.0,0.07177191972732544
75,34,0.374838933528154,0.9573314953562863,0.9951863736188548,0.9889869391918182,269.0,0.06719191372394562
76,4,0.5655956650603572,0.8763033261388042,0.9945079147760403,0.9791211597621441,182.0,0.3667808771133423
77,43,0.34553850424707927,0.9734215769524491,0.991034788435712,0.9809107389301062,165.0,0.08474531769752502
78,44,0.6003227835890912,0.7515559972660721,0.9463395275748901,0.7740998864173889,31.0,-0.23738797008991241
79,45,0.36546471416174386,0.972058502618633,0.9875608132227651,0.9750999175012112,229.0,0.014492847956717014
80,46,0.4120847685640732,0.8914427884229502,0.9872805154054383,0.9594073481857777,175.0,0.17455466091632843
81,47,0.37610869624793064,0.9292751539067953,0.9769834830785776,0.9430053345859051,41.0,0.10069310665130615
82,49,0.5839366574392086,0.9299017056538196,0.9840812200153986,0.9655413292348385,42.0,0.03897840157151222
83,51,0.47142739192600414,0.9619615307204943,0.9913282856108114,0.9813521318137646,227.0,0.11815418303012848
84,53,0.552465258753174,0.956371380123384,0.9837421824160775,0.9668134190142155,42.0,0.05942617729306221
85,55,0.5359031588392771,0.9619098385398565,0.9821261026447199,0.9606989100575447,42.0,-0.10605193674564362
86,56,0.6608369015729216,0.8186624403270697,0.9821043779465354,0.9214192777872086,42.0,0.154255211353302
87,58,0.4216056069574443,0.97199979661409,0.9922476598428354,0.9836359973996878,170.0,0.09916272014379501
88,59,0.5382376732094647,0.9350434994105568,0.9795131715695514,0.946194376796484,41.0,0.20291882753372192
89,6,0.45170174072184416,0.9237265966034053,0.9941998953819158,0.9836046397686005,91.0,0.1641334891319275
90,60,0.524946173678797,0.9445302589471595,0.9791407384497708,0.9496128112077713,41.0,0.15879103541374207
91,65,0.47470542343988,0.9086034373907955,0.9739501785488887,0.9291393756866455,41.0,0.15154269337654114
92,66,0.49105473000757854,0.9268014706932342,0.9807548397128902,0.9525771960616112,53.0,0.10529014468193054
93,7,0.3805764737068916,0.9430751011824764,0.9935796459642682,0.9836876336485147,182.0,0.1706768274307251
94,73,0.3953863263457112,0.959156917626251,0.9948644518569141,0.988355778157711,637.0,0.07729972898960114
95,77,0.4105582492461398,0.9731449804616258,0.9954177036275396,0.9898108094930649,637.0,0.1249912828207016
96,83,0.4171052908889474,0.9620860105283497,0.9939782365144215,0.9867896214127541,637.0,0.08960728347301483
97,86,0.35318375917234734,0.9754399992487696,0.9965025888500467,0.9925815854221582,494.0,0.008638682775199413
98,9,0.4331893753607778,0.9643216315052733,0.9943553558190115,0.9872973002493382,182.0,-0.13462038338184357
99,92,0.2744803026285618,0.9607547624506526,0.9973992888058969,0.9934780742041767,91.0,-0.024446753785014153
