date,snow_depth_water_equivalent_mean,surface_net_solar_radiation_mean,surface_net_thermal_radiation_mean,surface_pressure_mean,temperature_2m_mean,dewpoint_temperature_2m_mean,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean,soil_temperature_level_1_mean,soil_temperature_level_2_mean,soil_temperature_level_3_mean,soil_temperature_level_4_mean,snow_depth_water_equivalent_min,surface_net_solar_radiation_min,surface_net_thermal_radiation_min,surface_pressure_min,temperature_2m_min,dewpoint_temperature_2m_min,u_component_of_wind_10m_min,v_component_of_wind_10m_min,volumetric_soil_water_layer_1_min,volumetric_soil_water_layer_2_min,volumetric_soil_water_layer_3_min,volumetric_soil_water_layer_4_min,soil_temperature_level_1_min,soil_temperature_level_2_min,soil_temperature_level_3_min,soil_temperature_level_4_min,snow_depth_water_equivalent_max,surface_net_solar_radiation_max,surface_net_thermal_radiation_max,surface_pressure_max,temperature_2m_max,dewpoint_temperature_2m_max,u_component_of_wind_10m_max,v_component_of_wind_10m_max,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_2_max,volumetric_soil_water_layer_3_max,volumetric_soil_water_layer_4_max,soil_temperature_level_1_max,soil_temperature_level_2_max,soil_temperature_level_3_max,soil_temperature_level_4_max,total_precipitation_sum,potential_evaporation_sum,surface_runoff_sum,sub_surface_runoff_sum
2001-01-01,121.38,4.6,-39.13,97.72,-9.97,-11.4,-1.76,-0.48,0.36,0.36,0.37,0.39,-1.17,-0.91,0.17,1.68,121.13,-0.0,-52.94,97.41,-14.33,-16.23,-2.05,-0.62,0.36,0.36,0.37,0.39,-1.2,-0.92,0.16,1.66,121.4,33.49,-0.81,97.89,-5.97,-7.17,-1.6,-0.3,0.36,0.36,0.37,0.39,-1.16,-0.91,0.17,1.7,0.48,-0.09,0.0,0.71
2001-01-02,121.42,4.16,-41.84,96.98,-13.67,-16.3,-1.85,-0.79,0.36,0.36,0.37,0.39,-1.25,-0.92,0.16,1.65,121.4,-0.0,-51.21,95.92,-14.72,-17.12,-2.0,-1.68,0.36,0.36,0.37,0.39,-1.29,-0.92,0.15,1.63,121.44,31.76,-21.25,97.41,-11.82,-15.12,-1.66,-0.44,0.36,0.36,0.37,0.39,-1.2,-0.91,0.16,1.66,0.04,0.04,0.0,0.71
2001-01-03,121.58,4.34,-24.51,95.38,-10.05,-13.2,-1.64,-0.3,0.36,0.36,0.37,0.39,-1.31,-0.93,0.15,1.62,121.44,-0.0,-45.75,94.9,-11.91,-15.15,-2.11,-1.78,0.36,0.36,0.37,0.39,-1.33,-0.93,0.14,1.6,121.86,31.8,-1.91,96.17,-8.66,-11.23,-1.27,0.87,0.36,0.36,0.37,0.39,-1.29,-0.92,0.15,1.63,0.43,0.13,0.0,0.7
2001-01-04,123.51,3.84,-21.24,96.84,-9.25,-10.93,-1.28,-0.61,0.36,0.36,0.37,0.39,-1.32,-0.94,0.14,1.59,122.08,-0.0,-49.38,96.33,-12.67,-14.55,-1.67,-1.22,0.36,0.36,0.36,0.39,-1.33,-0.95,0.13,1.57,123.86,30.31,12.78,97.22,-6.93,-8.98,-0.99,0.25,0.36,0.36,0.37,0.39,-1.32,-0.93,0.14,1.6,1.99,-0.07,0.0,0.7
2001-01-05,123.88,4.98,-42.97,96.74,-15.18,-17.03,-1.81,-0.26,0.36,0.36,0.36,0.39,-1.36,-0.96,0.13,1.55,123.86,-0.0,-59.58,96.35,-17.27,-19.17,-2.09,-0.98,0.36,0.36,0.36,0.39,-1.39,-0.96,0.12,1.54,123.91,36.67,-20.36,97.21,-12.58,-14.7,-1.59,0.38,0.36,0.36,0.36,0.39,-1.33,-0.95,0.13,1.57,0.03,-0.08,0.0,0.69
2001-01-06,124.09,3.76,-8.88,96.28,-9.88,-13.21,-1.57,-1.27,0.35,0.36,0.36,0.39,-1.42,-0.98,0.12,1.53,123.91,-0.0,-34.91,95.33,-16.07,-18.32,-1.98,-1.96,0.35,0.36,0.36,0.39,-1.42,-0.99,0.11,1.51,124.61,26.32,7.62,97.17,-3.88,-7.29,-1.19,-0.51,0.36,0.36,0.36,0.39,-1.4,-0.96,0.12,1.54,0.71,0.2,0.0,0.69
2001-01-07,130.86,2.74,-28.21,94.21,-1.14,-4.26,-1.92,-0.79,0.35,0.36,0.36,0.39,-1.36,-0.99,0.1,1.5,124.97,-0.0,-77.04,93.64,-3.57,-6.5,-2.32,-2.31,0.35,0.36,0.36,0.39,-1.41,-1.0,0.1,1.48,133.99,18.28,8.15,95.22,1.58,-1.88,-1.16,1.29,0.35,0.36,0.36,0.39,-1.3,-0.99,0.11,1.51,9.44,0.9,0.0,0.68
2001-01-08,135.4,2.96,-30.52,94.66,-3.54,-5.91,-1.81,-0.53,0.35,0.36,0.36,0.39,-1.27,-1.0,0.09,1.47,133.99,-0.0,-54.39,94.29,-4.54,-6.54,-2.15,-1.0,0.35,0.36,0.36,0.39,-1.3,-1.0,0.09,1.45,137.61,20.72,-16.79,95.31,-2.82,-5.16,-1.5,0.37,0.35,0.36,0.36,0.39,-1.24,-0.99,0.1,1.48,3.67,0.14,0.0,0.68
2001-01-09,140.22,4.09,-31.95,96.03,-5.85,-7.62,-0.44,-0.25,0.35,0.36,0.36,0.39,-1.23,-0.99,0.08,1.44,137.97,-0.0,-61.84,95.42,-10.36,-12.29,-1.58,-0.73,0.35,0.36,0.36,0.39,-1.24,-0.99,0.08,1.42,140.88,28.32,-11.59,96.99,-3.78,-5.87,0.93,0.33,0.35,0.36,0.36,0.39,-1.22,-0.99,0.09,1.45,3.27,-0.0,0.0,0.68
2001-01-10,140.96,5.82,-44.6,98.06,-13.56,-16.17,-0.17,-0.36,0.35,0.36,0.36,0.39,-1.26,-0.99,0.07,1.41,140.9,-0.0,-58.01,97.13,-18.35,-20.95,-2.05,-0.69,0.35,0.36,0.36,0.39,-1.3,-0.99,0.07,1.4,140.98,40.6,-33.44,98.65,-10.79,-12.72,0.91,0.02,0.35,0.36,0.36,0.39,-1.23,-0.99,0.08,1.42,0.09,-0.03,0.0,0.67
2001-01-11,141.4,3.03,-10.99,98.06,-12.92,-16.38,-1.72,-1.06,0.35,0.36,0.36,0.39,-1.35,-0.99,0.06,1.38,140.98,-0.0,-54.65,97.15,-18.59,-21.58,-2.06,-1.67,0.35,0.35,0.36,0.39,-1.37,-1.0,0.06,1.37,142.42,20.86,9.73,98.62,-7.53,-11.32,-1.41,-0.18,0.35,0.36,0.36,0.39,-1.31,-0.99,0.07,1.4,1.44,0.1,0.0,0.67
2001-01-12,143.19,3.12,-8.5,96.62,-5.78,-9.29,-1.54,-1.31,0.35,0.35,0.36,0.39,-1.36,-1.0,0.05,1.35,142.49,-0.0,-18.7,96.42,-7.35,-11.16,-1.77,-1.97,0.35,0.35,0.36,0.39,-1.37,-1.01,0.05,1.34,144.56,20.57,-0.44,97.07,-5.04,-8.11,-1.26,-0.58,0.35,0.35,0.36,0.39,-1.33,-1.0,0.06,1.37,2.21,0.72,0.0,0.66
2001-01-13,145.13,4.15,-19.86,97.32,-5.85,-7.92,-1.6,-0.79,0.35,0.35,0.36,0.39,-1.31,-1.01,0.04,1.33,144.78,-0.0,-40.11,96.89,-8.36,-9.94,-1.85,-1.42,0.35,0.35,0.36,0.39,-1.33,-1.01,0.04,1.31,145.36,25.21,-6.96,97.54,-3.75,-6.16,-1.2,-0.31,0.35,0.35,0.36,0.39,-1.3,-1.01,0.05,1.34,0.81,0.13,0.0,0.66
2001-01-14,147.16,2.37,-17.04,96.86,-1.29,-4.32,-1.84,-1.06,0.35,0.35,0.36,0.39,-1.27,-1.01,0.03,1.3,145.38,-0.0,-70.29,96.12,-4.24,-6.73,-3.16,-2.03,0.35,0.35,0.36,0.39,-1.3,-1.01,0.03,1.29,151.86,14.76,-0.03,97.46,3.28,-1.02,-1.35,1.22,0.35,0.35,0.36,0.39,-1.24,-1.01,0.04,1.31,6.6,1.08,0.0,0.65
