date,snow_depth_water_equivalent_mean,surface_net_solar_radiation_mean,surface_net_thermal_radiation_mean,surface_pressure_mean,temperature_2m_mean,dewpoint_temperature_2m_mean,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean,soil_temperature_level_1_mean,soil_temperature_level_2_mean,soil_temperature_level_3_mean,soil_temperature_level_4_mean,snow_depth_water_equivalent_min,surface_net_solar_radiation_min,surface_net_thermal_radiation_min,surface_pressure_min,temperature_2m_min,dewpoint_temperature_2m_min,u_component_of_wind_10m_min,v_component_of_wind_10m_min,volumetric_soil_water_layer_1_min,volumetric_soil_water_layer_2_min,volumetric_soil_water_layer_3_min,volumetric_soil_water_layer_4_min,soil_temperature_level_1_min,soil_temperature_level_2_min,soil_temperature_level_3_min,soil_temperature_level_4_min,snow_depth_water_equivalent_max,surface_net_solar_radiation_max,surface_net_thermal_radiation_max,surface_pressure_max,temperature_2m_max,dewpoint_temperature_2m_max,u_component_of_wind_10m_max,v_component_of_wind_10m_max,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_2_max,volumetric_soil_water_layer_3_max,volumetric_soil_water_layer_4_max,soil_temperature_level_1_max,soil_temperature_level_2_max,soil_temperature_level_3_max,soil_temperature_level_4_max,total_precipitation_sum,potential_evaporation_sum,surface_runoff_sum,sub_surface_runoff_sum
2001-01-01,373.23,2.96,-40.08,93.86,-5.33,-6.38,-1.51,-0.17,0.35,0.35,0.36,0.39,0.04,0.2,0.82,2.09,373.19,0.0,-47.32,93.53,-7.92,-9.5,-1.85,-0.48,0.35,0.35,0.36,0.39,0.02,0.19,0.82,2.08,373.25,20.45,-27.86,94.08,-2.75,-3.76,-1.07,0.3,0.35,0.35,0.36,0.39,0.06,0.2,0.82,2.11,0.06,-0.01,0.0,0.89
2001-01-02,373.27,2.37,-24.93,93.09,-7.35,-9.21,-1.38,-0.79,0.35,0.35,0.36,0.39,-0.02,0.19,0.81,2.07,373.22,-0.0,-44.59,92.05,-8.37,-10.51,-1.58,-1.67,0.35,0.35,0.36,0.39,-0.06,0.18,0.81,2.05,373.34,17.84,-4.47,93.53,-5.71,-7.43,-1.14,-0.19,0.35,0.35,0.36,0.39,0.02,0.2,0.81,2.08,0.11,0.1,0.0,0.88
2001-01-03,374.71,2.21,-8.55,91.62,-6.46,-8.45,-0.6,-0.14,0.35,0.35,0.36,0.39,-0.09,0.17,0.8,2.04,373.34,-0.0,-22.86,91.15,-8.29,-9.74,-1.15,-1.6,0.35,0.35,0.36,0.39,-0.12,0.15,0.8,2.03,376.2,15.39,3.26,92.4,-5.59,-6.92,0.09,0.62,0.35,0.35,0.36,0.39,-0.06,0.18,0.81,2.05,2.87,0.07,0.0,0.87
2001-01-04,377.27,3.24,-27.08,93.01,-6.03,-7.41,-0.81,-0.27,0.35,0.35,0.36,0.39,-0.14,0.14,0.79,2.02,376.5,-0.0,-55.19,92.54,-8.5,-10.4,-1.29,-0.86,0.35,0.35,0.36,0.39,-0.17,0.12,0.79,2.0,377.63,22.64,-1.89,93.34,-3.96,-5.1,0.06,0.68,0.35,0.35,0.36,0.39,-0.12,0.15,0.8,2.03,1.4,-0.05,0.0,0.87
2001-01-05,377.67,2.94,-29.52,92.88,-9.45,-11.05,-1.11,0.15,0.35,0.35,0.36,0.39,-0.21,0.11,0.78,1.99,377.64,-0.0,-49.85,92.55,-11.65,-14.3,-2.0,-0.79,0.35,0.35,0.36,0.39,-0.26,0.09,0.77,1.98,377.7,20.73,-13.59,93.26,-7.7,-9.31,-0.4,0.78,0.35,0.35,0.36,0.39,-0.17,0.12,0.79,2.0,0.05,-0.04,0.0,0.86
2001-01-06,381.56,2.68,-4.07,92.36,-6.2,-7.85,-1.82,-1.48,0.35,0.35,0.36,0.39,-0.28,0.07,0.76,1.97,377.71,-0.0,-30.06,91.43,-10.45,-12.51,-2.33,-2.77,0.35,0.35,0.36,0.39,-0.29,0.05,0.76,1.95,387.45,17.38,11.98,93.23,-3.65,-4.79,-1.46,-0.43,0.35,0.35,0.36,0.39,-0.26,0.09,0.77,1.98,9.66,0.39,0.0,0.85
2001-01-07,422.2,1.73,-17.63,90.47,-0.5,-3.1,-3.18,0.24,0.35,0.35,0.36,0.39,-0.26,0.03,0.75,1.94,390.09,-0.0,-73.7,89.93,-3.24,-6.09,-4.29,-2.61,0.35,0.35,0.36,0.39,-0.29,0.02,0.74,1.93,435.43,12.5,10.92,91.3,1.75,-1.2,-1.79,2.67,0.35,0.35,0.36,0.39,-0.23,0.05,0.76,1.95,47.95,2.01,0.0,0.84
2001-01-08,438.83,2.08,-22.17,90.95,-2.85,-4.92,-1.85,0.56,0.35,0.35,0.36,0.39,-0.2,0.02,0.73,1.92,435.53,-0.0,-48.92,90.58,-3.99,-5.9,-3.08,-0.16,0.35,0.35,0.36,0.39,-0.22,0.02,0.72,1.9,446.65,13.74,3.36,91.62,-1.93,-2.86,-0.21,1.37,0.35,0.35,0.36,0.39,-0.18,0.02,0.74,1.93,11.31,0.88,0.0,0.83
2001-01-09,453.09,2.43,-18.18,92.27,-4.42,-5.2,0.56,-0.69,0.35,0.35,0.36,0.39,-0.17,0.02,0.71,1.89,447.86,-0.0,-42.45,91.72,-7.51,-8.91,-0.27,-2.33,0.35,0.35,0.36,0.39,-0.18,0.02,0.71,1.88,454.79,17.63,3.0,93.09,-2.34,-2.66,1.07,0.59,0.35,0.35,0.36,0.39,-0.17,0.02,0.72,1.9,8.19,0.12,0.0,0.83
2001-01-10,454.82,3.85,-43.91,94.12,-11.39,-14.07,-0.06,-1.5,0.35,0.35,0.36,0.39,-0.2,0.02,0.7,1.87,454.79,-0.0,-66.81,93.23,-14.08,-15.95,-1.56,-2.58,0.35,0.35,0.36,0.39,-0.24,0.02,0.69,1.86,454.87,24.89,-14.09,94.66,-8.36,-10.36,0.52,-0.5,0.35,0.35,0.36,0.39,-0.17,0.02,0.71,1.88,0.2,0.73,0.0,0.82
2001-01-11,456.84,1.79,-9.56,94.06,-9.03,-11.08,-1.77,-1.07,0.35,0.35,0.36,0.39,-0.29,0.0,0.69,1.84,454.79,-0.0,-56.62,93.18,-14.06,-16.27,-2.21,-1.83,0.35,0.35,0.36,0.39,-0.32,-0.01,0.68,1.83,463.39,11.99,9.4,94.62,-5.86,-7.3,-1.32,-0.45,0.35,0.35,0.36,0.39,-0.24,0.02,0.69,1.85,8.54,0.13,0.0,0.81
2001-01-12,478.24,1.91,-3.59,92.71,-4.28,-6.01,-1.93,-1.35,0.35,0.35,0.36,0.39,-0.31,-0.02,0.67,1.82,464.53,-0.0,-19.98,92.45,-5.54,-7.01,-2.61,-2.13,0.35,0.35,0.36,0.39,-0.32,-0.03,0.67,1.81,487.08,11.41,6.26,93.08,-3.38,-5.63,-1.35,-0.13,0.35,0.35,0.36,0.39,-0.3,-0.01,0.68,1.83,23.6,0.73,0.0,0.8
2001-01-13,488.38,2.99,-13.95,93.49,-2.97,-4.91,-2.42,0.26,0.35,0.35,0.36,0.39,-0.29,-0.04,0.66,1.79,487.52,-0.0,-21.72,93.07,-4.57,-5.97,-3.59,-0.13,0.35,0.35,0.36,0.39,-0.3,-0.04,0.65,1.78,492.09,18.1,-1.63,93.73,-0.75,-3.67,-1.57,0.78,0.35,0.35,0.36,0.39,-0.28,-0.03,0.67,1.81,4.97,0.33,0.0,0.8
2001-01-14,508.52,1.34,-8.24,93.01,0.37,-2.44,-3.38,0.58,0.35,0.35,0.36,0.39,-0.25,-0.05,0.64,1.77,492.98,0.0,-33.95,92.31,-0.69,-3.52,-5.04,-0.7,0.35,0.35,0.36,0.39,-0.28,-0.05,0.64,1.76,532.46,7.7,2.36,93.58,1.77,-0.97,-2.38,2.78,0.35,0.35,0.36,0.39,-0.22,-0.04,0.65,1.78,40.55,2.32,0.0,0.79
2001-01-15,540.08,4.49,-37.91,93.23,-0.05,-2.21,-1.7,2.25,0.36,0.35,0.36,0.39,-0.18,-0.04,0.63,1.75,533.23,0.0,-70.47,92.28,-3.48,-4.93,-4.1,0.76,0.35,0.35,0.36,0.39,-0.22,-0.04,0.63,1.74,542.23,28.98,-9.66,94.64,2.06,-0.58,-0.05,3.56,0.36,0.35,0.36,0.39,-0.15,-0.03,0.64,1.76,11.98,2.32,0.04,0.78
2001-01-16,542.31,5.28,-43.42,94.55,-4.47,-5.9,-1.7,-0.38,0.35,0.35,0.36,0.39,-0.15,-0.02,0.62,1.72,542.23,-0.0,-59.4,93.66,-5.72,-7.88,-2.08,-1.75,0.35,0.35,0.36,0.39,-0.15,-0.03,0.62,1.71,542.95,33.32,-5.47,94.92,-3.33,-4.25,-0.84,1.31,0.36,0.35,0.36,0.39,-0.14,-0.02,0.63,1.74,0.84,0.39,0.0,0.77
2001-01-17,557.46,3.44,-12.49,92.75,-0.63,-2.95,-2.54,-0.67,0.35,0.35,0.36,0.39,-0.15,-0.01,0.61,1.7,543.69,-0.0,-30.71,92.54,-3.55,-5.6,-3.91,-2.62,0.35,0.35,0.36,0.39,-0.16,-0.02,0.61,1.69,567.76,20.5,4.96,93.51,1.0,-1.64,-1.74,0.15,0.35,0.35,0.36,0.39,-0.15,-0.01,0.62,1.71,24.91,1.53,0.0,0.77
2001-01-18,577.8,2.95,-17.82,92.21,0.41,-2.34,-2.89,-0.98,0.35,0.35,0.36,0.39,-0.13,-0.0,0.6,1.68,568.02,-0.0,-49.88,91.06,-0.28,-3.24,-3.84,-2.42,0.35,0.35,0.36,0.39,-0.14,-0.01,0.6,1.67,594.05,19.75,-4.9,92.93,0.95,-1.65,-1.9,0.48,0.35,0.35,0.36,0.39,-0.12,0.0,0.61,1.69,26.64,2.38,0.0,0.76
2001-01-19,598.07,5.73,-44.3,92.82,-1.44,-3.89,-2.57,1.35,0.35,0.35,0.36,0.39,-0.1,0.01,0.6,1.66,595.75,-0.0,-76.75,91.43,-4.38,-5.76,-4.47,-0.47,0.35,0.35,0.36,0.39,-0.11,0.0,0.59,1.65,598.52,38.48,-7.97,93.63,1.67,-1.77,-2.02,2.68,0.36,0.35,0.36,0.39,-0.09,0.02,0.6,1.67,5.17,2.37,0.01,0.75
2001-01-20,599.62,4.44,-27.81,93.06,-2.96,-4.79,-1.99,-1.49,0.35,0.35,0.36,0.39,-0.1,0.02,0.59,1.64,598.55,-0.0,-43.1,92.59,-3.57,-5.3,-2.23,-2.17,0.35,0.35,0.36,0.39,-0.11,0.02,0.59,1.62,601.74,27.82,-16.31,93.64,-2.64,-4.44,-1.76,-0.61,0.35,0.35,0.36,0.39,-0.09,0.03,0.59,1.65,3.39,1.12,0.0,0.75
2001-01-21,607.25,3.8,-26.79,92.9,-2.55,-4.73,-2.19,-0.78,0.35,0.35,0.36,0.39,-0.11,0.03,0.58,1.61,602.17,-0.0,-54.9,92.59,-4.12,-6.97,-2.84,-2.33,0.35,0.35,0.36,0.39,-0.12,0.03,0.58,1.6,612.02,20.14,-11.18,93.15,-1.4,-3.43,-1.61,0.97,0.35,0.35,0.36,0.39,-0.11,0.03,0.59,1.62,10.33,0.95,0.0,0.74
2001-01-22,620.1,2.8,-22.55,93.0,-1.75,-3.49,-2.1,-1.16,0.35,0.35,0.36,0.39,-0.12,0.03,0.58,1.59,612.33,-0.0,-44.66,92.7,-2.65,-4.52,-3.57,-2.5,0.35,0.35,0.36,0.39,-0.12,0.03,0.57,1.58,627.22,16.93,-2.73,93.3,-0.65,-2.64,-1.26,0.39,0.35,0.35,0.36,0.39,-0.12,0.03,0.58,1.6,15.23,1.17,0.0,0.74
2001-01-23,631.44,4.26,-22.08,93.86,-2.65,-3.53,-0.61,0.76,0.35,0.35,0.36,0.39,-0.12,0.03,0.57,1.57,627.3,-0.0,-55.62,93.05,-5.28,-7.42,-2.12,0.1,0.35,0.35,0.36,0.39,-0.12,0.03,0.57,1.56,634.1,26.47,-0.77,94.3,-1.48,-2.3,0.41,1.42,0.35,0.35,0.36,0.39,-0.12,0.04,0.57,1.58,6.85,-0.0,0.0,0.73
2001-01-24,636.14,3.02,-13.48,94.08,-2.68,-5.19,-2.15,-0.21,0.35,0.35,0.36,0.39,-0.14,0.03,0.57,1.55,634.12,-0.0,-33.4,93.98,-5.06,-7.35,-2.55,-1.14,0.35,0.35,0.36,0.39,-0.14,0.03,0.56,1.54,638.26,14.92,-6.59,94.26,-2.19,-4.47,-1.86,0.51,0.35,0.35,0.36,0.39,-0.12,0.04,0.57,1.56,4.21,0.54,0.0,0.72
2001-01-25,639.39,7.49,-24.85,94.62,-3.01,-4.86,-1.89,0.84,0.35,0.35,0.36,0.39,-0.14,0.03,0.56,1.53,638.34,-0.0,-60.44,94.32,-4.05,-5.44,-3.21,0.23,0.35,0.35,0.36,0.39,-0.15,0.03,0.56,1.52,640.07,44.9,-7.18,94.89,-1.49,-4.04,-0.77,1.92,0.35,0.35,0.36,0.39,-0.14,0.03,0.56,1.54,1.83,0.41,0.0,0.72
2001-01-26,644.35,3.08,-14.46,93.68,-1.66,-4.13,-2.43,0.53,0.35,0.35,0.35,0.39,-0.15,0.02,0.55,1.51,640.23,-0.0,-24.48,92.98,-2.28,-5.25,-3.61,-0.99,0.35,0.35,0.35,0.39,-0.15,0.02,0.55,1.5,649.79,16.98,-4.83,94.42,-1.08,-3.09,-1.48,2.59,0.35,0.35,0.36,0.39,-0.15,0.03,0.56,1.52,9.9,1.96,0.0,0.71
2001-01-27,654.91,5.72,-23.33,93.15,-3.44,-4.81,0.31,0.77,0.35,0.35,0.35,0.39,-0.15,0.02,0.55,1.49,650.29,-0.0,-61.89,92.97,-4.97,-6.14,-1.37,0.08,0.35,0.35,0.35,0.39,-0.15,0.02,0.55,1.48,656.2,32.27,-0.16,93.49,-1.96,-3.29,1.21,1.32,0.35,0.35,0.35,0.39,-0.14,0.02,0.55,1.5,6.44,0.12,0.0,0.71
2001-01-28,656.31,6.73,-31.11,93.61,-5.55,-7.14,-0.6,0.07,0.35,0.35,0.35,0.39,-0.18,0.01,0.54,1.47,656.22,-0.0,-58.53,93.43,-6.81,-9.36,-1.68,-0.61,0.34,0.35,0.35,0.39,-0.2,0.01,0.54,1.47,656.34,33.94,-2.08,93.74,-4.48,-5.04,0.82,0.6,0.35,0.35,0.35,0.39,-0.15,0.02,0.55,1.48,0.15,0.15,0.0,0.7
2001-01-29,656.52,6.98,-32.08,93.47,-6.93,-8.88,-1.95,-0.68,0.34,0.35,0.35,0.39,-0.25,-0.0,0.54,1.45,656.34,-0.0,-49.83,93.33,-7.51,-9.53,-2.27,-0.86,0.34,0.35,0.35,0.39,-0.28,-0.01,0.53,1.45,656.69,36.55,-20.38,93.66,-5.92,-7.81,-1.52,-0.39,0.34,0.35,0.35,0.39,-0.21,0.01,0.54,1.46,0.34,0.31,0.0,0.7
2001-01-30,658.57,4.37,-8.91,93.45,-5.66,-7.3,-1.57,-0.94,0.34,0.35,0.35,0.39,-0.31,-0.03,0.53,1.44,656.7,-0.0,-24.44,92.69,-6.98,-8.8,-2.36,-2.73,0.34,0.35,0.35,0.39,-0.32,-0.05,0.52,1.43,662.53,23.26,1.58,93.67,-4.74,-6.16,-1.06,0.07,0.34,0.35,0.35,0.39,-0.28,-0.02,0.53,1.45,5.84,0.45,0.0,0.69
2001-01-31,669.37,4.5,-6.97,91.79,-3.98,-5.35,-1.35,-1.87,0.34,0.35,0.35,0.39,-0.33,-0.06,0.52,1.42,662.91,-0.0,-23.34,91.53,-5.21,-6.76,-1.7,-3.14,0.34,0.35,0.35,0.39,-0.33,-0.07,0.51,1.41,674.32,27.22,1.73,92.55,-2.58,-3.54,-1.1,-0.86,0.34,0.35,0.35,0.39,-0.33,-0.05,0.52,1.43,11.77,0.74,0.0,0.69
2001-02-01,679.59,9.21,-33.97,92.84,-4.42,-6.44,-0.34,1.37,0.34,0.35,0.35,0.39,-0.32,-0.08,0.51,1.4,674.73,-0.0,-85.35,91.82,-9.61,-10.58,-1.89,-0.58,0.34,0.35,0.35,0.39,-0.33,-0.09,0.5,1.39,681.08,51.68,5.1,93.51,-2.09,-2.9,1.51,3.07,0.34,0.35,0.35,0.39,-0.31,-0.07,0.51,1.41,6.8,1.06,0.0,0.68
2001-02-02,681.1,7.98,-32.02,93.64,-9.03,-10.61,-0.98,0.45,0.34,0.35,0.35,0.39,-0.35,-0.1,0.5,1.38,681.03,0.0,-46.32,93.42,-10.61,-11.93,-1.73,-0.15,0.34,0.35,0.35,0.39,-0.39,-0.11,0.49,1.38,681.33,43.59,-9.21,94.05,-7.93,-9.9,-0.32,1.43,0.34,0.35,0.35,0.39,-0.32,-0.09,0.5,1.39,0.32,0.14,0.0,0.67
2001-02-03,681.63,9.35,-38.29,94.57,-10.31,-12.52,-1.82,0.75,0.34,0.35,0.35,0.39,-0.43,-0.12,0.49,1.37,681.34,-0.0,-51.62,94.12,-11.89,-14.03,-2.49,0.47,0.34,0.35,0.35,0.39,-0.47,-0.14,0.48,1.36,682.09,48.55,-27.5,94.93,-8.72,-10.73,-0.6,1.3,0.34,0.35,0.35,0.39,-0.39,-0.11,0.49,1.38,0.78,0.25,0.0,0.67
2001-02-04,682.53,8.27,-19.72,94.91,-8.33,-10.52,-2.25,-0.05,0.34,0.35,0.35,0.39,-0.51,-0.16,0.47,1.35,682.09,0.0,-46.4,94.76,-12.03,-13.4,-3.08,-0.71,0.34,0.35,0.35,0.39,-0.54,-0.18,0.47,1.34,683.26,45.52,-1.4,95.34,-5.82,-7.66,-1.41,0.56,0.34,0.35,0.35,0.39,-0.48,-0.14,0.48,1.36,1.15,0.49,0.0,0.66
2001-02-05,683.68,11.28,-26.24,95.86,-6.15,-7.94,-2.23,0.24,0.34,0.34,0.35,0.39,-0.56,-0.2,0.46,1.33,683.35,0.0,-42.86,95.43,-8.09,-9.6,-3.5,-0.1,0.34,0.34,0.35,0.39,-0.57,-0.22,0.45,1.33,684.06,57.52,-7.9,96.2,-3.47,-6.64,-1.35,0.63,0.34,0.35,0.35,0.39,-0.54,-0.18,0.47,1.34,0.72,0.18,0.0,0.66
2001-02-06,688.15,4.36,-5.78,94.98,-3.4,-5.41,-1.6,-1.09,0.34,0.34,0.35,0.39,-0.57,-0.24,0.45,1.32,684.15,0.0,-10.74,94.75,-4.09,-6.59,-3.1,-2.4,0.34,0.34,0.35,0.39,-0.57,-0.25,0.44,1.31,691.48,20.91,-1.04,95.44,-2.95,-4.0,-0.27,0.62,0.34,0.34,0.35,0.39,-0.55,-0.22,0.45,1.33,7.43,0.93,0.0,0.65
